OKRAJ,DeSUS,DOM,Resni.ca,SVOBODA,LEVICA,L'BP,LMŠ,NAŠA DEŽELA,SNP-DD,NESTRANKARSKA,NSi,Pirati,POVEŽIMO,SDS,SNS,SD,SAB,VESNA,ZLS
1001,0.0077,0.0048,0.0571,0.3489,0.0414,0.0044,0.0419,0.0167,0.0374,0.0204,0.0465,0.0199,0.0276,0.1879,0.0116,0.0631,0.04,0.0134,0.0072
1002,0.0045,0.0047,0.0287,0.3156,0.0493,0.0053,0.04,0.0128,0.0152,0.0291,0.0729,0.0182,0.0413,0.2172,0.016,0.0591,0.0352,0.0214,0.0115
1003,0.0046,0.0025,0.045,0.3441,0.0489,0.0042,0.0477,0.0148,0.0143,0.0349,0.0686,0.0183,0.021,0.203,0.0119,0.0587,0.0288,0.0176,0.0089
1004,0.0064,0.0031,0.051,0.3606,0.0544,0.0021,0.0397,0.0086,0.0125,0.0157,0.0623,0.0189,0.0207,0.1929,0.0118,0.0643,0.0497,0.0166,0.0076
1005,0.0048,0.0035,0.0575,0.3465,0.0491,0.0017,0.0381,0.0102,0.0139,0.0164,0.0719,0.0199,0.0275,0.1959,0.0119,0.0547,0.0558,0.0125,0.0075
1006,0.0033,0.0021,0.0343,0.2819,0.0335,0.0024,0.0422,0.018,0.0135,0.0186,0.1121,0.0177,0.0584,0.2579,0.0148,0.042,0.0252,0.0151,0.0063
1007,0.006,0.0012,0.0429,0.3709,0.0393,0.0047,0.0339,0.0087,0.0179,0.0345,0.0713,0.0187,0.0171,0.2167,0.0116,0.0408,0.0245,0.03,0.0076
1008,0.0043,0.0025,0.0299,0.3125,0.0665,0.002,0.0339,0.0099,0.0155,0.0181,0.0801,0.0191,0.0365,0.2659,0.0124,0.0421,0.0247,0.0169,0.0063
1009,0.0042,0.0025,0.0274,0.2265,0.0354,0.0021,0.0335,0.0156,0.0126,0.016,0.1089,0.018,0.0496,0.3471,0.0145,0.0438,0.0188,0.0146,0.0082
1010,0.0045,0.0024,0.0224,0.3132,0.0375,0.0018,0.1311,0.012,0.013,0.0147,0.1237,0.017,0.0187,0.1928,0.01,0.042,0.0232,0.0125,0.007
1011,0.0046,0.0007,0.0278,0.3109,0.0362,0.004,0.0456,0.0131,0.0117,0.0164,0.0867,0.0169,0.0523,0.2321,0.0145,0.0883,0.0182,0.0137,0.0054
2001,0.006,0.0013,0.0153,0.3287,0.032,0.0016,0.0217,0.0147,0.0084,0.0172,0.102,0.0134,0.0633,0.2501,0.0104,0.0789,0.0147,0.0145,0.0048
2002,0.0074,0.0021,0.0284,0.3992,0.057,0.0131,0.0339,0.0088,0.0193,0.0284,0.0341,0.0164,0.0151,0.1633,0.0067,0.1186,0.0308,0.0094,0.0065
2003,0.0098,0.0026,0.0277,0.4357,0.0573,0.0161,0.0286,0.0089,0.0237,0.0231,0.0323,0.0182,0.0228,0.146,0.0062,0.084,0.038,0.0102,0.0076
2004,0.0073,0.0008,0.0267,0.4409,0.0728,0.0545,0.0326,0.0059,0.0288,0.0194,0.0274,0.022,0.0156,0.1124,0.0068,0.0731,0.0357,0.0085,0.0078
2005,0.0055,0.0016,0.0297,0.4332,0.0484,0.0454,0.0355,0.0104,0.0251,0.0198,0.0375,0.0165,0.0162,0.1452,0.0061,0.0678,0.0375,0.0097,0.0073
2006,0.0079,0.0015,0.0225,0.4112,0.0593,0.0067,0.0286,0.025,0.0191,0.0205,0.0445,0.0183,0.0279,0.1511,0.0112,0.0685,0.0568,0.0118,0.0063
2007,0.0085,0.0012,0.0193,0.3156,0.0412,0.0039,0.0407,0.0186,0.0142,0.0076,0.1415,0.0132,0.0367,0.2324,0.0156,0.0457,0.024,0.0118,0.0071
2008,0.0096,0.002,0.019,0.3446,0.0499,0.0078,0.0603,0.0204,0.0145,0.0166,0.0534,0.0168,0.0305,0.2363,0.0107,0.0596,0.0317,0.0106,0.0045
2009,0.0072,0.0018,0.0158,0.412,0.0323,0.003,0.0194,0.0206,0.0139,0.016,0.0688,0.0148,0.026,0.232,0.0089,0.0615,0.0173,0.0203,0.0072
2010,0.0055,0.0022,0.0153,0.4598,0.0484,0.0031,0.0169,0.0117,0.0375,0.0166,0.044,0.0137,0.0216,0.1793,0.0076,0.0765,0.0241,0.0108,0.0044
2011,0.0069,0.0016,0.0148,0.2837,0.0361,0.0034,0.0202,0.0144,0.0133,0.0159,0.148,0.0183,0.0236,0.2709,0.008,0.0905,0.0141,0.0113,0.0045
3001,0.003,0.0014,0.0197,0.3288,0.0377,0.0051,0.0353,0.0147,0.0129,0.0222,0.1039,0.0172,0.0415,0.2458,0.0108,0.0612,0.023,0.0114,0.0045
3002,0.003,0.0015,0.0229,0.3808,0.0461,0.0043,0.0431,0.0084,0.0182,0.0226,0.0706,0.0202,0.0261,0.2166,0.0096,0.0529,0.0285,0.017,0.0076
3003,0.003,0.0026,0.0284,0.3574,0.038,0.0032,0.035,0.007,0.0258,0.0179,0.0767,0.0198,0.0373,0.235,0.0124,0.0505,0.0286,0.0145,0.0069
3004,0.003,0.0026,0.0181,0.4162,0.0746,0.003,0.0407,0.0044,0.0182,0.0183,0.061,0.0216,0.0229,0.1715,0.0083,0.0608,0.0354,0.0154,0.004
3005,0.0039,0.0022,0.0188,0.4075,0.0865,0.0029,0.0396,0.0043,0.0186,0.0151,0.052,0.0201,0.0225,0.1536,0.0062,0.0793,0.0422,0.0196,0.0051
3006,0.0025,0.0017,0.0179,0.3473,0.0616,0.002,0.0375,0.0103,0.0155,0.0186,0.0712,0.0211,0.0279,0.2552,0.0084,0.0534,0.0279,0.0153,0.0047
3007,0.0029,0.0018,0.0138,0.3793,0.1475,0.0015,0.036,0.0046,0.0191,0.0167,0.0519,0.0221,0.021,0.1499,0.0064,0.0652,0.038,0.0193,0.0031
3008,0.0032,0.003,0.0168,0.4395,0.1049,0.0022,0.0406,0.0058,0.0254,0.0169,0.0417,0.0237,0.0163,0.1272,0.0058,0.0674,0.036,0.0181,0.0054
3009,0.004,0.0025,0.0233,0.4018,0.0921,0.0034,0.0409,0.0055,0.0239,0.0161,0.0517,0.0187,0.0193,0.1391,0.0066,0.0874,0.0404,0.0177,0.0057
3010,0.0029,0.002,0.0239,0.4164,0.0707,0.0023,0.0424,0.0065,0.0188,0.0176,0.056,0.0192,0.0241,0.165,0.0074,0.0653,0.0369,0.0168,0.0058
3011,0.0037,0.0019,0.0286,0.3756,0.0429,0.0038,0.0436,0.0097,0.0161,0.0179,0.0867,0.0218,0.0238,0.2068,0.0105,0.0516,0.0322,0.0165,0.0061
4001,0.0075,0.0012,0.0323,0.3574,0.0343,0.0054,0.0277,0.0064,0.0188,0.0123,0.0615,0.0107,0.0125,0.202,0.0253,0.1389,0.0314,0.0085,0.0058
4002,0.0048,0.0012,0.017,0.2232,0.0262,0.0025,0.0282,0.0147,0.0193,0.0172,0.1791,0.0128,0.0233,0.347,0.015,0.0363,0.0172,0.0104,0.0047
4003,0.0053,0.0026,0.0191,0.3103,0.0391,0.002,0.0342,0.0092,0.0153,0.0227,0.0773,0.0157,0.0287,0.3223,0.0106,0.043,0.0198,0.0168,0.0059
4004,0.0057,0.0023,0.0173,0.256,0.0311,0.0023,0.0348,0.0222,0.0151,0.016,0.0709,0.0157,0.0285,0.3921,0.0114,0.0453,0.0151,0.0135,0.0048
4005,0.0035,0.0013,0.0238,0.3904,0.0519,0.0034,0.0465,0.0074,0.024,0.0163,0.065,0.0206,0.0197,0.2007,0.0118,0.0603,0.0281,0.0158,0.0093
