OKRAJ,SD,RESNI.CA,"MI, SOCIALISTI!",GLAS UPOKOJENCEV,SDS,LEVICA IN VESNA,ZAUPANJE,PREROD,PIRATI,"NSi, SLS, FOKUS",SVOBODA,ZELENI+SG,DEMOKRATI.,SNS,ALTERNATIVA
1001,0.055265,0.092949,0.006947,0.006209,0.214852,0.052499,0.00332,0.045983,0.025081,0.057355,0.366939,0.003688,0.046536,0.017766,0.004611
1002,0.054203,0.056965,0.00767,0.004295,0.282982,0.06443,0.002352,0.066578,0.028124,0.095316,0.23962,0.004091,0.066987,0.020863,0.005523
1003,0.055767,0.075684,0.005369,0.004676,0.244371,0.069449,0.002511,0.037842,0.030048,0.093176,0.265501,0.003983,0.088327,0.018012,0.005282
1004,0.056005,0.096129,0.004537,0.003261,0.232312,0.076989,0.003474,0.030909,0.028853,0.07628,0.295548,0.003403,0.070821,0.01666,0.004821
1005,0.051507,0.115534,0.005783,0.004559,0.231544,0.069198,0.002858,0.033068,0.027148,0.101858,0.269307,0.004763,0.060557,0.018507,0.00381
1006,0.047045,0.059666,0.003796,0.004566,0.327724,0.045557,0.003129,0.032937,0.026421,0.139647,0.200493,0.004156,0.081931,0.019393,0.00354
1007,0.060227,0.073325,0.004912,0.0069,0.2588,0.050988,0.001988,0.032862,0.023623,0.084201,0.295287,0.003391,0.072155,0.025845,0.005496
1008,0.046071,0.05679,0.007383,0.003904,0.289416,0.073827,0.001633,0.029673,0.021438,0.149642,0.237524,0.00291,0.058352,0.016966,0.004472
1009,0.048742,0.04195,0.002637,0.003196,0.407751,0.048901,0.003116,0.021175,0.018937,0.174511,0.154934,0.003196,0.051219,0.016061,0.003676
1010,0.05087,0.052462,0.004099,0.004677,0.266455,0.059067,0.003375,0.031535,0.028111,0.125271,0.273591,0.003375,0.071074,0.021457,0.004581
1011,0.076891,0.045699,0.00487,0.004456,0.292746,0.043938,0.003109,0.028394,0.026218,0.107254,0.277306,0.003109,0.058756,0.022591,0.004663
2001,0.064391,0.034601,0.004718,0.003701,0.295217,0.053381,0.002035,0.027755,0.022204,0.152466,0.258951,0.002868,0.052919,0.018873,0.005921
2002,0.14031,0.059735,0.006798,0.004681,0.19659,0.074446,0.002563,0.028196,0.025632,0.053271,0.326089,0.003566,0.060069,0.013596,0.004458
2003,0.074231,0.063859,0.008623,0.005374,0.183204,0.071232,0.003124,0.029743,0.025494,0.046988,0.400275,0.005124,0.054736,0.020495,0.007498
2004,0.069304,0.08413,0.00693,0.005439,0.154136,0.088429,0.002281,0.026581,0.031231,0.044478,0.413457,0.003421,0.046495,0.017458,0.006229
2005,0.067698,0.077814,0.006411,0.004823,0.191566,0.059052,0.002294,0.027526,0.028938,0.054641,0.396248,0.003529,0.048171,0.025762,0.005529
2006,0.078953,0.046346,0.007929,0.004238,0.192631,0.071228,0.001777,0.042245,0.026728,0.069383,0.364482,0.006426,0.059608,0.023173,0.004853
2007,0.048846,0.03243,0.006273,0.005338,0.265181,0.06019,0.001468,0.027359,0.02122,0.157614,0.289337,0.004271,0.049246,0.027759,0.00347
2008,0.062791,0.050609,0.009157,0.003597,0.25419,0.062464,0.003516,0.033113,0.024937,0.094759,0.300057,0.004333,0.068106,0.02461,0.003761
2009,0.061713,0.03329,0.005203,0.003357,0.251888,0.044536,0.002126,0.021485,0.021765,0.093829,0.368097,0.004252,0.061601,0.022156,0.0047
2010,0.057533,0.037711,0.007977,0.00278,0.196773,0.06823,0.002901,0.022421,0.021817,0.065027,0.435426,0.005197,0.052698,0.017284,0.006225
2011,0.099821,0.025641,0.004274,0.002041,0.28371,0.041715,0.001276,0.021495,0.028192,0.1733,0.229494,0.003636,0.064358,0.015436,0.005613
3001,0.057042,0.04707,0.004557,0.002466,0.289873,0.048196,0.002252,0.032917,0.023589,0.12443,0.25583,0.002734,0.082614,0.022248,0.004182
3002,0.055693,0.049693,0.004043,0.002674,0.263923,0.064041,0.001304,0.036325,0.031433,0.090192,0.302987,0.01376,0.060193,0.018195,0.005543
3003,0.056748,0.051907,0.004741,0.002346,0.284737,0.056848,0.001497,0.041475,0.0279,0.10022,0.268367,0.003444,0.076113,0.017568,0.006089
3004,0.05711,0.048917,0.006084,0.002028,0.205484,0.105865,0.002109,0.040724,0.033098,0.080636,0.318893,0.003894,0.080555,0.010708,0.003894
3005,0.069967,0.042739,0.008911,0.003383,0.187376,0.12368,0.003053,0.04538,0.035809,0.061386,0.327063,0.00429,0.07071,0.010561,0.005693
3006,0.054233,0.0406,0.006518,0.001614,0.299271,0.08126,0.002212,0.037371,0.030615,0.09005,0.248027,0.003946,0.084788,0.01447,0.005023
3007,0.066843,0.031659,0.014103,0.001543,0.170046,0.19693,0.001983,0.034597,0.03871,0.06082,0.299912,0.003452,0.06486,0.007272,0.007272
3008,0.066847,0.047644,0.010172,0.002906,0.157048,0.166078,0.002491,0.040897,0.045256,0.054391,0.326033,0.004463,0.060411,0.010588,0.004775
3009,0.082917,0.044843,0.007538,0.002384,0.17591,0.132298,0.003231,0.040228,0.037074,0.058919,0.324283,0.003384,0.069841,0.011691,0.005461
3010,0.06507,0.048307,0.005202,0.001982,0.202395,0.105533,0.002808,0.038068,0.039389,0.077787,0.321635,0.003881,0.06986,0.012964,0.00512
3011,0.062117,0.050481,0.004666,0.002923,0.254708,0.066164,0.002586,0.039912,0.028894,0.115184,0.268143,0.005509,0.073472,0.019113,0.006127
4001,0.085682,0.055227,0.004091,0.0025,0.225568,0.035568,0.005568,0.168523,0.013409,0.054318,0.2725,0.001477,0.04125,0.017727,0.003409
4002,0.034394,0.0362,0.00285,0.00247,0.410926,0.030119,0.001425,0.052067,0.015582,0.141758,0.15658,0.00361,0.086936,0.020618,0.002945
4003,0.046411,0.045106,0.004323,0.002039,0.381077,0.048532,0.001794,0.034095,0.024796,0.094617,0.22186,0.002692,0.070718,0.015824,0.005302
4004,0.054806,0.042188,0.003468,0.002504,0.4424,0.031304,0.004816,0.028222,0.022539,0.097765,0.181275,0.002601,0.063475,0.018879,0.003179
4005,0.05439,0.062905,0.004198,0.002818,0.253478,0.067162,0.002399,0.03526,0.031542,0.081614,0.313744,0.002459,0.062905,0.01799,0.006237
4006,0.072572,0.076364,0.009585,0.004424,0.15178,0.100485,0.00316,0.0336,0.038129,0.048557,0.386349,0.002633,0.050453,0.016221,0.004213
4007,0.059502,0.063499,0.008446,0.004072,0.193288,0.099472,0.003997,0.033937,0.036953,0.058446,0.349321,0.003544,0.063122,0.015837,0.005053
4008,0.063488,0.048019,0.005636,0.00184,0.201507,0.0969,0.00161,0.038358,0.032837,0.081661,0.334982,0.00276,0.070677,0.014147,0.004831
4009,0.063979,0.047758,0.009955,0.002854,0.163534,0.148705,0.002715,0.041075,0.041075,0.056948,0.337162,0.003411,0.061264,0.01455,0.004247
4010,0.056502,0.049042,0.003809,0.003333,0.269019,0.044651,0.002275,0.035446,0.029415,0.12131,0.269284,0.00291,0.080573,0.028145,0.003545
4011,0.060176,0.05261,0.004447,0.003234,0.226149,0.056999,0.001906,0.041176,0.032456,0.092342,0.324209,0.003696,0.072534,0.021656,0.005486
5001,0.066571,0.04893,0.002155,0.001756,0.420578,0.028576,0.001596,0.028017,0.015166,0.096185,0.197158,0.00439,0.060345,0.025303,0.002874
5002,0.063304,0.058558,0.002705,0.004556,0.334646,0.039956,0.002041,0.02629,0.020405,0.089593,0.245717,0.00223,0.070422,0.035496,0.003274
5003,0.075875,0.059331,0.005848,0.00492,0.254154,0.070598,0.001997,0.025886,0.026599,0.057691,0.310704,0.004421,0.067033,0.029808,0.003637
5004,0.104004,0.047268,0.003131,0.002609,0.31626,0.036084,0.002535,0.022143,0.021397,0.103333,0.236636,0.003504,0.070305,0.026765,0.003579
5005,0.084172,0.045394,0.002604,0.002111,0.24027,0.036597,0.001126,0.021747,0.019143,0.221127,0.241185,0.003941,0.059962,0.016961,0.003026
5006,0.0341,0.048519,0.001851,0.001851,0.36136,0.054754,0.002241,0.016173,0.012763,0.184626,0.186185,0.002436,0.067225,0.021239,0.004092
5007,0.1282,0.057723,0.003445,0.003538,0.282935,0.045433,0.002048,0.021879,0.018155,0.061912,0.281631,0.008007,0.060795,0.019551,0.002234
5008,0.083905,0.04889,0.002857,0.002857,0.355697,0.035994,0.001959,0.027424,0.016487,0.080069,0.226983,0.005387,0.071743,0.034607,0.00204
5009,0.063988,0.048565,0.003114,0.002447,0.277527,0.040039,0.00126,0.022244,0.019426,0.08334,0.338771,0.007489,0.065915,0.023133,0.002224
5010,0.09309,0.039866,0.003497,0.002378,0.287173,0.045111,0.001259,0.014827,0.016925,0.106309,0.324241,0.004476,0.040635,0.017135,0.002238
5011,0.048389,0.05811,0.00227,0.003831,0.317937,0.029871,0.001135,0.018731,0.017667,0.067688,0.297786,0.003193,0.111182,0.01937,0.001703
6001,0.105026,0.045953,0.006317,0.00354,0.278773,0.034152,0.002638,0.035957,0.014369,0.090726,0.297376,0.004581,0.049146,0.026378,0.005067
6002,0.060295,0.045208,0.003292,0.002743,0.387118,0.024469,0.002579,0.032424,0.015801,0.11269,0.196467,0.005157,0.075767,0.033028,0.002963
